condition,term,phenotype,age,n,n_values,mean,sd,q5,q25,q50,q75,q95
nvp_after_29w,pregnancy_duration_term,bmi,birth,5057,4885,14.1730047050422,1.30965773249275,12.1045072365681,13.3246527777778,14.1607663473553,14.9942329873126,16.32
nvp_after_29w,pregnancy_duration_term,bmi,6w,5057,2955,15.5972664819522,1.45354627770273,13.2581095041322,14.6399003591677,15.5612244897959,16.5243258903576,18.0021084784329
nvp_after_29w,pregnancy_duration_term,bmi,3m,5057,4201,16.548625143248,1.5266140651638,14.1845703125,15.5065842515453,16.4742845434055,17.5470224145184,19.1689623507805
nvp_after_29w,pregnancy_duration_term,bmi,6m,5057,4245,17.174172595751,1.52761431295663,14.8522720480762,16.1376953125,17.0631487889273,18.1224489795918,19.8575626393808
nvp_after_29w,pregnancy_duration_term,bmi,8m,5057,3669,17.3036568357349,1.4981786647388,15.0104885836659,16.2981859410431,17.2023540063377,18.2439739155043,19.8936814560704
nvp_after_29w,pregnancy_duration_term,bmi,1y,5057,3668,16.9470042821408,1.39032925168629,14.7658821123745,15.9993074792244,16.8677587765995,17.8161195967971,19.2951992125958
nvp_after_29w,pregnancy_duration_term,bmi,16m,5057,2728,16.6898545466365,1.36792808786715,14.5666721208141,15.7738412111739,16.6339296163894,17.5466565678415,18.9064412256797
nvp_after_29w,pregnancy_duration_term,bmi,2y,5057,2708,16.4082034187328,1.40600664683843,14.224618179058,15.4868072422574,16.3612414774964,17.2839506172839,18.7179441821312
nvp_after_29w,pregnancy_duration_term,bmi,3y,5057,2781,16.1039804932937,1.52731653665152,13.7471037625556,15.107383327995,16.0159188526778,16.9760072430964,18.7421907538526
nvp_after_29w,pregnancy_duration_term,bmi,5y,5057,2258,15.6014964261851,1.60249080423932,13.2218584476295,14.5833333333333,15.5325443786982,16.5289256198347,18.2628387756593
nvp_after_29w,pregnancy_duration_term,bmi,7y,5057,2283,15.8204742973166,1.96036375485657,13.12,14.5833333333333,15.5936734239251,16.8178382464097,19.2198997504485
nvp_after_29w,pregnancy_duration_term,bmi,8y,5057,1748,16.2588643196803,2.04763478984,13.3660057919358,14.9210141069905,16.0515311474146,17.3447346938776,19.8572653341172
nvp_after_29w,pregnancy_duration_preterm,length,birth,342,299,46.0702341137124,2.80311732246981,41,44,47,48,50
nvp_after_29w,pregnancy_duration_preterm,length,6w,342,180,52.3966666666667,3.00398059936158,47475,50.5,52.5,54,57
nvp_after_29w,pregnancy_duration_preterm,length,3m,342,261,58.1929767892057,3.0434169345196,53,56,58,60,63
nvp_after_29w,pregnancy_duration_preterm,length,6m,342,265,65.4076145532606,2.96703517479492,60.6,63,65.5,67.5,70
nvp_after_29w,pregnancy_duration_preterm,length,8m,342,237,69.3778789181504,2.96029510831483,64.24,67.5,69.2,71.5,74
nvp_after_29w,pregnancy_duration_preterm,length,1y,342,240,74.8370112316873,3.03328948081903,70475,73,75,77,79505
nvp_after_29w,pregnancy_duration_preterm,length,16m,342,181,79.5110319002913,3.34992676469053,74.1798267166688,77.5,79.5,81.5,85
nvp_after_29w,pregnancy_duration_preterm,length,2y,342,180,87.3655661477221,3.63397944116954,81475,85.2253713520311,87,90,93
nvp_after_29w,pregnancy_duration_preterm,length,3y,342,184,95.4863861090857,3.7985663448082,90,93,96,98,101.5
nvp_after_29w,pregnancy_duration_preterm,length,5y,342,148,111.94993062635,5.26681435744492,104,108.080287425752,112,115.762133234381,120
nvp_after_29w,pregnancy_duration_preterm,length,7y,342,166,125.327059450208,5.71419487309749,116.25,121,125,129,135
nvp_after_29w,pregnancy_duration_preterm,length,8y,342,132,132.204545454545,5.77536045121251,122.55,128,132,136,141
nvp_after_29w,pregnancy_duration_preterm,weight,birth,342,336,2.55665476190476,0.557808788595136,1.6245,2.17,2555,2.87075,3.54275
nvp_after_29w,pregnancy_duration_preterm,weight,6w,342,245,3.88294285714286,0.789249719462814,2739,3.33,3.9,4.39,5226
nvp_after_29w,pregnancy_duration_preterm,weight,3m,342,268,5.45794618458681,0.903917914331571,3.9285,4.95375,5465,6.1075,6893
nvp_after_29w,pregnancy_duration_preterm,weight,6m,342,271,7.21235194712619,0.992367608056508,5.6525,6545,7.16,7.8825,8.96
nvp_after_29w,pregnancy_duration_preterm,weight,8m,342,241,8.25506724622405,1.10771337033563,6.65,7.63620812263995,8.14,8.88,10.18
nvp_after_29w,pregnancy_duration_preterm,weight,1y,342,242,9.49858889931755,1.157104483718,7.81225,8765,9.45,10.1575,11.2785
nvp_after_29w,pregnancy_duration_preterm,weight,16m,342,184,10.5692526924219,1.25763468957947,8.80435327740914,9675,10.4854644732855,11385,12618
nvp_after_29w,pregnancy_duration_preterm,weight,2y,342,183,12.5303576217325,1.65170241422983,10,11.275396905231,12.5819176509621,13.552771390524,15.2812241820802
nvp_after_29w,pregnancy_duration_preterm,weight,3y,342,190,14.7237061484015,2.07059323617171,11.8721911793764,13.5,14.6,16,18
nvp_after_29w,pregnancy_duration_preterm,weight,5y,342,149,19.6426661501663,3.24237630436864,15.08,17.4,19.0535130848533,21,24.5222212297866
nvp_after_29w,pregnancy_duration_preterm,weight,7y,342,160,25.0393011626695,4.5350927327662,19,22,24.8,27225,32.24
nvp_after_29w,pregnancy_duration_preterm,weight,8y,342,128,29.06484375,6.02843119331714,21,25,27.75,33,41475
nvp_after_29w,pregnancy_duration_preterm,bmi,birth,342,296,12.0089669036715,1.6013727015162,9.39123522755038,11.051719767742,11.9729993961243,12.9367587143504,14.7535921825239
nvp_after_29w,pregnancy_duration_preterm,bmi,6w,342,180,14.3626943091125,1.55383349420662,11.8164997183747,13.3492494684937,14.3486973020501,15.2756653398499,17.1798093210547
nvp_after_29w,pregnancy_duration_preterm,bmi,3m,342,261,16.1169304131691,1.54079356392163,13.8392857142857,15.0175160288188,16.2777777777778,17.1190540177372,18.3043587805493
nvp_after_29w,pregnancy_duration_preterm,bmi,6m,342,265,16.8419627002977,1.38275803869465,14.6728797485281,15.7427081359839,16.8047337278106,17.8876170655567,18.9072489487288
nvp_after_29w,pregnancy_duration_preterm,bmi,8m,342,237,17.1423096779456,1.43726332278965,14.8564446169223,16.1068267688008,17.1084874136779,18.1396484375,19.4836115617526
nvp_after_29w,pregnancy_duration_preterm,bmi,1y,342,240,16.9362171328752,1.32335780111855,14.9004747991234,15.9886649078372,16.93028669127,17.8081324947357,19.0696322299201
nvp_after_29w,pregnancy_duration_preterm,bmi,16m,342,180,16.6239362653256,1.35915037534624,14.452803409738,15.7773876090938,16.6380434984834,17.5444602041035,18.7746129183728
